Account,acc_win_rate
5,0.45521472392638035
27,0.3371343243059798
17,0.8108763772364298
12,0.3603639240506329
21,0.26196826243499133
4,0.5199135535659154
3,0.43858462925400044
24,0.5731414868105515
10,0.35344524005164923
20,0.33019361590790164
6,0.32766787405962666
1,0.4427197802197802
7,0.4759036144578313
25,0.40852575488454707
9,0.48423605497170574
2,0.3019165135206091
8,0.2349869451697128
0,0.3596123624934521
31,0.428230141349791
13,0.40119320039228507
26,0.32209737827715357
16,0.3062937062937063
30,0.32752745172283226
14,0.4317948717948718
23,0.3457866068567767
22,0.2853866317169069
11,0.48622589531680444
15,0.34591194968553457
19,0.38274288198217776
18,0.45221295702373315
29,0.46758210645526616
28,0.4386109962794543
