Account,Size USD
0,16159.57673389209
1,1653.2263269230768
2,8893.000897873459
3,507.6269326121253
4,3138.894782340228
5,1729.9411042944785
6,4790.5754862078575
7,3445.471265060241
8,5189.367127937337
9,2397.824753435732
10,517.5289235825802
11,9084.699093204776
12,17098.171054852322
13,34396.58028440667
14,746.7256512820513
15,7216.667245283019
16,2133.6673636363635
17,2600.7780491256444
18,3748.8675112251444
19,2204.6855314062163
20,6279.002286760858
21,820.4285131350847
22,3601.689298820446
23,1273.1950003204101
24,2066.6892086330936
25,2979.4417761989343
26,8330.193370786517
27,3837.885375008484
28,22504.555828854896
29,3210.472831257078
30,7852.098337750852
31,1844.2118863229146
