Account,Long short ratio
5,0.4149238535585453
27,0.998464784598569
17,1.0625576005336828
12,2.999923075393905
21,0.17667188259241273
4,43571.96618523122
3,11.713909953585555
24,0.0
10,0.36837950549405346
20,4.418904643389074
6,0.8672407060539671
1,2.682543821191645
7,0.0
25,0.0
9,4.874268508852958
2,0.04802487374018803
8,0.026395714451681384
0,0.3737444317790403
31,0.866458511012772
13,4.054045787291073
26,0.0
16,0.06803544094579954
30,2.0086264275075294
14,0.16691778850457198
23,53.379462405242286
22,1.7425574175223046
11,5.276690963302395
15,0.43407255217296686
19,0.5190465282415941
18,0.30437635071278873
29,0.0
28,1.3008677090051541
